;‘кважина;Џласт;„ата (месЯц, год);—исло дней добычи нефти, сут;Ќакопленно времени;„ебит жидкости, м3/сут;Ћбводненность об., %;„ебит нефти, м3/сут;„ебит воды м3/сут
0;113;Ѓб;2015-05-01 00:00:00;4;4;72;2.791461412;69.99014778;2.009852217
1;113;Ѓб;2015-06-01 00:00:00;29.58333333;33.58333333;65.18535211;2.78373904;63.37076202;1.814590095
2;113;Ѓб;2015-07-01 00:00:00;25.79166667;59.375;60.62423263;1.39690252;59.7773712;0.846861434
3;113;Ѓб;2015-08-01 00:00:00;30.91666667;90.29166667;58.97142857;1.399830718;58.1459284;0.825500172
4;113;Ѓб;2015-09-01 00:00:00;29.04166667;119.3333333;57.84447633;1.399194403;57.03511965;0.809356675
5;113;Ѓб;2015-10-01 00:00:00;29.79166667;149.125;58.03972028;1.400521763;57.22686137;0.812858914
6;113;Ѓб;2015-11-01 00:00:00;27.58333333;176.7083333;58.0060423;1.394865707;57.1969359;0.809106392
7;113;Ѓб;2015-12-01 00:00:00;28.125;204.8333333;57.44;1.812844037;56.39870239;1.041297615
8;113;Ѓб;2016-01-01 00:00:00;31;235.8333333;57.5516129;1.926782274;56.44271863;1.108894276
9;113;Ѓб;2016-02-01 00:00:00;28.95833333;264.7916667;56.87827338;1.469952443;56.04218981;0.836083569
10;113;Ѓб;2016-03-01 00:00:00;31;295.7916667;58.19032258;2.811639796;56.55422031;1.636102267
11;113;Ѓб;2016-04-01 00:00:00;30;325.7916667;57.69;2.142368241;56.45406776;1.235932238
12;113;Ѓб;2016-05-01 00:00:00;27.25;353.0416667;44.35963303;2.758755625;43.13585916;1.223773871
13;113;Ѓб;2016-06-01 00:00:00;30;383.0416667;43.37333333;4.63707855;41.3620778;2.011255536
14;113;Ѓб;2016-07-01 00:00:00;30.5;413.5416667;42.63278689;4.926776351;40.53236482;2.100422062
15;113;Ѓб;2016-08-01 00:00:00;30.20833333;443.75;34.5302069;4.04519774;33.13339175;1.396815149
16;113;Ѓб;2016-09-01 00:00:00;29.79166667;473.5416667;44.54937063;2.929913617;43.24411255;1.305258076
17;113;Ѓб;2016-10-01 00:00:00;30.75;504.2916667;41.95447154;3.61225423;40.43896937;1.515502173
18;113;Ѓб;2016-11-01 00:00:00;26.58333333;530.875;44.33981191;1.820925553;43.53241695;0.807394965
19;113;Ѓб;2016-12-01 00:00:00;30.5;561.375;47.34098361;1.863711002;46.45868449;0.88229912
20;113;Ѓб;2017-01-01 00:00:00;30.83333333;592.2083333;47.93513514;2.092016672;46.93232412;1.002811019
21;113;Ѓб;2017-02-01 00:00:00;27.95833333;620.1666667;51.56602086;6.428049671;48.25133143;3.314689435
22;113;Ѓб;2017-03-01 00:00:00;30.95833333;651.125;61.11763122;2.904797601;59.34228774;1.775343486
23;113;Ѓб;2017-04-01 00:00:00;30;681.125;67.02;8.499190002;61.32384286;5.69615714
24;113;Ѓб;2017-05-01 00:00:00;30.25;711.375;63.72231405;10.2713411;57.17717782;6.545136231
25;113;Ѓб;2017-06-01 00:00:00;30;741.375;61.81666667;9.107981221;56.18641628;5.630250391
26;113;Ѓб;2017-07-01 00:00:00;30.75;772.125;58.20487805;7.143323113;54.04711554;4.157762507
27;113;Ѓб;2017-08-01 00:00:00;30.79166667;802.9166667;57.47334235;5.044805841;54.57392382;2.899418532
28;113;Ѓб;2017-09-01 00:00:00;29.33333333;832.25;47.82954545;1.137424667;47.28552041;0.544025048
29;113;Ѓб;2017-10-01 00:00:00;30.66666667;862.9166667;47.43913043;1.465082207;46.74410818;0.695022259
30;113;Ѓб;2017-11-01 00:00:00;29.5;892.4166667;50.92542373;2.678290921;49.56149273;1.363931
31;113;Ѓб;2017-12-01 00:00:00;26.75;919.1666667;48.39252336;10.27287319;43.4212208;4.971302561
32;113;Ѓб;2018-01-01 00:00:00;30.66666667;949.8333333;49.10869565;1.673738802;48.28674436;0.821951295
33;113;Ѓб;2018-02-01 00:00:00;26.45833333;976.2916667;49.15275591;2.144674664;48.0985892;1.054166702
34;115;Ѓш;2016-04-01 00:00:00;10.58333333;10.58333333;50.69291339;2.624509196;49.36247321;1.330440174
35;115;Ѓш;2016-05-01 00:00:00;27.25;37.83333333;44.35963303;2.758755625;43.13585916;1.223773871
36;115;Ѓш;2016-06-01 00:00:00;30;67.83333333;43.37333333;4.63707855;41.3620778;2.011255536
37;115;Ѓш;2016-07-01 00:00:00;30.5;98.33333333;42.63278689;4.926776351;40.53236482;2.100422062
38;115;Ѓш;2016-08-01 00:00:00;30.20833333;128.5416667;34.5302069;4.04519774;33.13339175;1.396815149
39;115;Ѓш;2016-09-01 00:00:00;29.79166667;158.3333333;44.54937063;2.929913617;43.24411255;1.305258076
40;115;Ѓш;2016-10-01 00:00:00;30.75;189.0833333;41.95447154;3.61225423;40.43896937;1.515502173
41;115;Ѓш;2016-11-01 00:00:00;26.58333333;215.6666667;44.33981191;1.820925553;43.53241695;0.807394965
42;115;Ѓш;2016-12-01 00:00:00;30.5;246.1666667;47.34098361;1.863711002;46.45868449;0.88229912
43;115;Ѓш;2017-01-01 00:00:00;30.83333333;277;47.93513514;2.092016672;46.93232412;1.002811019
44;115;Ѓш;2017-02-01 00:00:00;27.95833333;304.9583333;51.56602086;6.428049671;48.25133143;3.314689435
45;115;Ѓш;2017-03-01 00:00:00;30.95833333;335.9166667;61.11763122;2.904797601;59.34228774;1.775343486
46;115;Ѓш;2017-04-01 00:00:00;30;365.9166667;67.02;8.499190002;61.32384286;5.69615714
47;115;Ѓш;2017-05-01 00:00:00;30.25;396.1666667;63.72231405;10.2713411;57.17717782;6.545136231
48;115;Ѓш;2017-06-01 00:00:00;30;426.1666667;61.81666667;9.107981221;56.18641628;5.630250391
49;115;Ѓш;2017-07-01 00:00:00;30.75;456.9166667;58.20487805;7.143323113;54.04711554;4.157762507
50;115;Ѓш;2017-08-01 00:00:00;30.79166667;487.7083333;57.47334235;5.044805841;54.57392382;2.899418532
51;115;Ѓш;2017-09-01 00:00:00;29.33333333;517.0416667;47.82954545;1.137424667;47.28552041;0.544025048
52;115;Ѓш;2017-10-01 00:00:00;30.66666667;547.7083333;47.43913043;1.465082207;46.74410818;0.695022259
53;115;Ѓш;2017-11-01 00:00:00;29.5;577.2083333;50.92542373;2.678290921;49.56149273;1.363931
54;115;Ѓш;2017-12-01 00:00:00;26.75;603.9583333;48.39252336;10.27287319;43.4212208;4.971302561
55;115;Ѓш;2018-01-01 00:00:00;30.66666667;634.625;49.10869565;1.673738802;48.28674436;0.821951295
56;115;Ѓш;2018-02-01 00:00:00;26.45833333;661.0833333;49.15275591;2.144674664;48.0985892;1.054166702
